Código;Item;Estoque;Reservas;Preço;Localização;Código Adicional 1;Código Adicional 2;Código Adicional 3;Código Adicional 4;Código Adicional 5
00918-10056;SIL. FIESTA 1.4 16V/1.6 99/04/ NOVO KA 1.6 09/...;1.0;0.0;480.24;B/5-2;10056T;51508W;FR3603T;;
00919-10059T;SIL. ESCORT 1.8 ZETEC LONGO;0.0;0.0;620.3;B/5-1;10059T;51515W;FR3223T;;
00920-51516W;SIL. ESCORT SW 1.8/16V LONGO;1.0;0.0;562.58;B/4-1;10060T;51516W;FR3225T;;
00950-10557T;SIL. S-10 2.2 96/99 4CC;1.0;0.0;845.43;E/6;10557T;41160W;GM2801T;;
00951-10598T-41156;SIL. S-10 2.2 97/99CAB DUPLA ESTENDIDA;1.0;0.0;925.47;E/7 ;10598T;41156W;GM2817T;;
00970-GM2816T;SIL. S-10 4.3 V6 96/99 CD/CE C/FLANGE CAB DUP/EST;3.0;0.0;1272.41;F/13;10644T-NF;41102W-NF;GM2816T;;
00976-10614T;SIL. ASTRA SEDAN 1.8 2.0 8V 98/01;2.0;0.0;465.24;C/17 *;10614T;41519W;GM2404T;;
00979-10594T;SIL. ASTRA HATCH 1.8 2.0 8V 98/01;1.0;0.0;445.23;B/A CIMA 1;10594T;41517W;GM2403T;;1508N
00979-41517-NC;SIL. ASTRA HATCH 1.8 2.0 8V 98/01;0.0;0.0;450.6;B/A CIMA 1;10594T;41517W;GM2403T;;1508N
81104SP;SIL. VITARA 1.6  93/99  2.0 96/99;0.0;0.0;0.0;A/7 - 1;;;;;
18051T;"SIL. ESPORTIVO ALTO FLUXO CX RED. ENT/SAIDA 2.1/2""";1.0;0.0;402.9;C/3 ;18051T;;;;
00982A-11160T-61500W;SIL. PARATI 1.6 1.8 96... C/2 SUPORTES;2.0;0.0;579.0;A/7 - 1;11160T;61500W;VW0402T;;1923N
00987-61506;SIL. SAVEIRO MI 97;0.0;0.0;439.53;C/88;11098T;61506W;GM0426T;;
00990-61513W;SIL. POLO/ CORDOBA/ IBIZA 95/...;2.0;0.0;539.86;A/6 - 3 *;11100T;61513W;VW0301T;;
00995-10624T;SIL. CELTA 00/06;2.0;0.0;343.16;A/3 - 3 ;10624T;41503W;GM2609T;;1829N
00995-41503W;SIL. CELTA 00/06;18.0;0.0;265.56;A/3 - 3 ;10624;41503W;GM2609T;;1829N
01019-19044T-110211W;SIL. TIPO TURBINHO DIAM. 1.3/4  ENT. CURTO;2.0;0.0;215.1;B/1-56;19044T;10211SP;DV6710S;;92802N
01020-19008T;SIL. TIPO TURBO / TURBAO C/ ADAPTADOR DE REDUCÃO;2.0;0.0;295.14;B/1-56;19008T;10207SP;DV6715S;;92801N
01021-19006T;ABAFADOR JK  3 POL.  ENT/SAI  1.7/8  COMP.430mm C/;2.0;0.0;155.3;C/20;19059T;10201W;DV7001S;;
01022-19061T;"SIL. UNIVERSAL 1 ENT .Ø 2"" PONT.  DUPLA  (OBS)";2.0;0.0;301.02;B/1-55;19061T;10312W;DV6726S;;
KT919;Kit 10 Porca Flangeada M8 Chave 12 Coletor Escape ;0.0;0.0;0.0;B/2-1;;;;;
01653-20154W;INT. SIENA 1.8 8V FIRE/FLEX 06    DIAM. 44,45MM;1.0;0.0;446.66;BA/29;11808T;20154W;FT4010M-4417M-4424M;;
01204-10061T;SIL. KA 1.0 1.3 97/99 LONGO FINO (ENT.LONGA);2.0;0.0;400.2;A/6-2;10061T;51518W;FR3402T;;
01206-51539W;SIL. ESCORT SW 1.6/1.8 CURTO;3.0;0.0;720.4;A/6 - 3 *;;51539W;FR3226T;;
01207-51538W;SIL. ESCORT 1.8 ZETEC CURTO ;1.0;0.0;662.4;A/7 - 1;;51538W;FR3224T;;
01209-10090T;SIL. KA 1.0  99/2006 CURTO (ENT.CURTA) *;2.0;0.0;370.21;B/5-2;10090T;51517W;FR3406T;;1698N
10879T;SIL. KA 1.5 16V 2015/.....HATCH/SEDAN;2.0;0.0;825.42;B/1 - 4;10879T;;;;
01211-10112T;SIL. FIESTA 1.6 01/03 SEDAN STREET;1.0;0.0;632.32;SL/4;10112T;51527W;FR3612T;;
01213-10152T;SIL. FIESTA HATCH 1.0/1.6 02/05 - ECOSPORT 04/05;4.0;0.0;495.24;B/4 -4;10152T;51532W;FR3608T;;
01213-51532W;SIL. FIESTA HATCH 1.0/1.6 02/05 - ECOSPORT 04/05;10.0;0.0;390.86;B/4 -4;;;;;
AB0002-ML;DISCO CORTE NORTON  STANDARD 180 X 1.6 X 22.23;2.0;0.0;4.5;;15106;;;;
01216-10084T;SIL. RANGER 2.5/4.0  97/01 CAB.EST/DUPLA;1.0;0.0;1242.4;E/8;10084T;51155W;FR3807T;;
01654-11574T;INT. PALIO WEEKEND LOCKER 1.8 05... ;1.0;0.0;514.42;F/11 *;11574T;20153W;FT4425M;;
01219-10147;SIL. ECOSPORT 2.0 16V 4X2 03/08;1.0;0.0;735.36;C/83;10147T;51537W;FR3617T;;
219;BENGALA GOL A AR 1.3/1.6 DIANT. LE. S/PRÉ;0.0;0.0;126.01;;;;;;
00223T;SIL. PASSAT 1.5 1.6 ESPORTIVO ;0.0;0.0;311.67;C/9;;;;;
234;TUBO TERM. VOY/ PAR / SAV 1.5 1.6 ...94;3.0;0.0;126.5;C/104;;;;;
00258-264T;INT. GOL GTS 1.8 GTI 2.0...91;0.0;0.0;644.4;;;;;;
438;SIL. PARATI 1.0 16V GIII TURBO;0.0;0.0;336.0;C/48;;;;;
480;SIL. TOYOTA BANDEIRANTE TURBO;0.0;0.0;370.99;;;;;;
483;TUBO TERM. TOYOTA JEEP CURTO 90...;0.0;0.0;120.51;SL/48;;;;;
00524A;SIL. MONDEO 1.8 16V SW 94/98;1.0;0.0;580.61;SL/45;;;;;
537;TUBO TERM. GOL 1.8 87/91;1.0;0.0;118.51;C/117 ;;;;;
01657-11584T;INT. STRADA 1.8 8V 06/10 FLEX ;2.0;0.0;550.02;BA/15 ;11584T;20146W;FT4420M;;
00711-161T;SIL. SUPREMA 2.0 2.2 4CC;1.0;0.0;1038.45;C/66;161T;41548W;GM2204T;;
00723T;"TUBO TERM.  Ø 3.1/2"" MERC. 1214/ 1414";0.0;0.0;119.4;E/12;;;;;
00780T;TUBO INT. MERC 1113 / 1114 CURTO TURBO;0.0;0.0;81.9;E/12;;;;;
00781T;TUBO INT. MERC 1113 / 1114 LONGO TURBO;0.0;0.0;183.26;F/15;;;;;
00784AT;TUBO INT. MERC 1113 / 1113 LONGO ASP;0.0;0.0;126.0;F/15;;;;;
00790BT;TUBO MOTOR CAMINHAO MERC. 608-E/ 708;0.0;0.0;284.4;C/122;;;;;
00793T;TUBO TERM. MERC. 608-D / 608/ 708 71/87;0.0;0.0;220.08;F/15;;;;;
794AT;"TUBO TERM. Ø  3"" MERC. 1113/ 1114 CURTO TURB ";0.0;0.0;183.26;F/15;;;;;
11905T;SIL. HILUX 2.7 16V 2009/2015;0.0;0.0;2145.4;SL/9 ;11905T;;;;
11836T;SIL. UNO 1.0/1.4 EVO 2010/.... (VEJA OBS);-3.0;0.0;431.66;C/91;;11836;;;FT4421T
19073T-ML;"SIL. ESPORTIVO ENT.2"" ABSORTIVO C/LÃ";2.0;0.0;292.75;B/1-50;;;;;
956;SIL. SILVERADO MWM DIESEL 97... TURBINADO;0.0;0.0;494.0;SL/30;;;;;
1024130;LUBRAX 5W30 VALORA OFFROAD SINTETICO-SN ACEA C2C3;48.0;0.0;141.12;;;;;;
01-;SIL. SIENA 1.0 1.3 1.4 04...;0.0;0.0;196.06;;;;;;
724T;"TUBO TERM LONGO  Ø 3.1/2""  1214/1414/1614";2.0;0.0;400.0;D/18 ;;;;;
01221A-FR3606E;TUBO INT. FIESTA HAT/SED 1.0 02.. LONGO  ;2.0;0.0;217.99;B/A - 7;;;FR3606E;;
01234;TUBO INT. FIESTA 1.0 02/06 CURTO (VEJA 1221);0.0;0.0;0.0;H-26;;;;;
KT242;Borracha Coxim De Escape Gol Gts Gti 1.8 2.0 1987 ;5.0;0.0;595.55;C/71*;;;;;
00817-323T;TUBO INT. FIORINO 1.0/1.5 93/94;5.0;0.0;140.21;C/51;323T;21201W;FT4201E-FT442017E;;
11911T;TUBO INT. FRONTIER 2.5L 16V 2008/2016;2.0;0.0;378.5;C/57;19049T;;;;
DV6403E;TUBO INT MITISUBISHI L200 3.2 2008/2011 TRITON;0.0;0.0;122.01;BA/7;;;DV6403E;;
01659-11846T-20177W;INT. PALIO WEEKEND 1.6 1.8 16V 11...;1.0;0.0;585.3;F/11;11846T;20177W;FT4426M;;
01604-21530;SIL. TEMPRA 8V 98...VEJA 822A;0.0;0.0;0.0;C/48 *;;;;;
01647-21228W;TUBO INTERMED STRADA 1.4 FLEX  2005/2019 POST+;0.0;0.0;95.0;G/3  ;11768T-2SUPORTE;21228W-1SUPORTE;FT4403E;;10687N
1820;SIL. RENAULT TRAFFIC 92...;0.0;0.0;316.26;C/2 CIMA ;;;;;
PG6806D;TUBO INTER DUCATO 2.5 98/ 2.8 99/11 (OBS);1.0;0.0;504.5;H-04;;;PG6806D;;
00125-603T;TUBO TERM. JEEP BANDEIRANTES 68/89;0.0;0.0;0.0;F/13 ;;;;;
19203T-CT6903E;TUBO INT. C4 PALLAS 2.0 2008/2013 ;1.0;0.0;276.6;G/2 ;19203T;81281W;CT6903E;;
11831T-FT4015M;INT. BRAVO 1.8 16V E.TORQ 2009/2016;2.0;0.0;637.4;B/A - 8;11831T;20161W-NF;FT4015M;;
2301;INT. TOYOTA BANDEIRANTES LONGO 95...;0.0;0.0;393.12;BA/6;;;;;
HY7503M;INT. CRETA 1.6 16V 2016/2021;1.0;0.0;604.18;BA/7;;;HY7503M;;
FR3801F;TUBO TERM. F-250 DIESEL / GAS 3,9/4.2/6CIL 98...;1.0;0.0;160.01;SL/30;;;;;
122BT;INT. ESPORTIVO CHEVETE/CHEVY 500 ;0.0;2.0;316.86;C/75;122B;;;;
AA4;TUBO INT. ;1.0;0.0;0.0;C/127;;;;;
6300;SIL. GOL 1.0 8V 99/... GIII P/ADAPTAÇÃO;1.0;0.0;333.2;B/2-1;;;;;
06484-1554;TUBO INT. GOL / VOYAGE 1.6 GVI 09 entra 1.6 sai 1.;1.0;0.0;105.41;C/1 CIMA;;;;;
07041OG;TUBO MOTOR TEMPRA SW 2.0 94/97 / TIPO ;2.0;0.0;390.0;B/1 - 15 ;;;;;
07060OG;TUBO MOTOR OMEGA 4.1 6CC 95...;0.0;0.0;870.0;B/1 - 38;;;;;
07072OG;TUBO MOTOR RENAULT MEGANE/SCENIC 2.0 8V;0.0;0.0;731.52;;;;;;
07078OG;TUBO MOTOR GOL PARATI 1.6 94/96 VEJA 877;0.0;0.0;348.5;B/1;;;;;
795AT;"TUBO MOTOR MERCEDEZ 1519/1520/2219 Ø 3""";1.0;0.0;300.0;C/98 ;;;;;
07088AOG;TUBO MOTOR UNO MILLE ALCOOL 2003...;1.0;0.0;0.0;B/1 - 9;;;;;
07112;TUBO MOTOR TIPO 2.0 IE C/ FLEXIVEL;1.0;0.0;623.0;B/1 - 3 ;11710T;21605W;FT4004D;;
01664-11835T;INT. UNO / GRANSIENA / PALIO 1.0 1.4 10...;0.0;0.0;326.14;D/6;11835T;20149W;FT4211M-4433M;;
00306-51352;TUBO MOTOR JEEP 6CC;1.0;0.0;259.41;C/122;10379T;51352W;FR3014D;;
08000OG;INT. TEMPRA C/ FLEXIVEL 16V 93...;0.0;0.0;615.0;C/49;;;;;
08004OG;INT. TIPO 2.0 16V 95 ... C/ FLEXIVEL;1.0;0.0;480.0;C/45 ;;;;;
10000;INT. ZAFIRA 1.8 2.0 8V 09... S/ FLANGE;0.0;0.0;337.05;F/7;;;;;
38A;PONT. ;1.0;0.0;313.6;BA/11;;;;;
10154T;TUBO TERM. FOCUS  HATCH 2003/2007;0.0;0.0;144.9;C/84;;;;;
16760T;CAT. COROLLA 2.0 16V  12/02-14 C/ ABAFADOR INTE;0.0;0.0;0.0;;;;;;
10076-FR3102M;SIL. MONDEO 2.0 SW 96/98 LE;0.0;0.0;613.42;SL/33;;;;;
10078T-51542SP;SIL. MONDEO 2.0L 16V L.D;1.0;0.0;628.42;SL/4;;10078;51542;FR3103T;
10198T;SIL. EFFA  MINI VAN 8 LUGARES 1.0 2009/2012;0.0;0.0;436.26;G/12;;;;;
01553-11413T;INT. GOL / SAV / VOY/FOX/CRO -1.6 8V 09 (VEJA OBS);3.0;0.0;345.18;A/4 - 3;11413T-11423T;60180W;VW0421M;;30168N
01667-11843T;INT. PUNTO 1.4 8V 09... FIRE FLEX;1.0;0.0;400.22;F/5 ;11843T;;;;
01263-10223T;TUBO INT. RANGER 3.0 DIESEL 05/09 CAB DUPLA;0.0;0.0;300.0;ENC;;;;;
07120OG;TUBO MOTOR HILUX 2.8 4X2 97/98 DIESEL;2.0;0.0;1097.5;SL/20;;;;;
10354T;TUBO INT. F-250 6CC MWM DIESEL 99...;1.0;0.0;320.0;SL/20;;;;;
00718-10391T;"SIL. RANGER CAB ESTENDIDA E DUPLA 94/97 126"" 3,20M";0.0;0.0;257.34;;;;;;
10449T;TUBO INT. LIFAN X60 1.8 16V 2013/2016;0.0;0.0;336.9;B/A - 9 *;;;;;
10612T;SIL. SILVERADO MWM DIESEL 97... ASPIRADO ;0.0;0.0;523.66;C/2 CIMA;;;;;
10809T;TUBO INT. KADETT / IPANEMA 97...;0.0;0.0;120.0;C/50;;;;;
00154-11112T;INT. PASSAT ALEMAO 1.8 2.0 95/96;0.0;0.0;294.99;BA/CIMA 1;;;;;
11259-;LUVA MALHA PIGMENTADA CA34491 KALIPSO;0.0;0.0;4.88;C/99;11259-;;;;
11538T;INT. TEMPRA 2.0 TURBO ATE ABRIL 95;0.0;0.0;320.0;BA/9;;;;;
01701-10113S-19364TT;INT. HONDA CIVIC LX 97/2000 - 2 PARAFUSOS ;1.0;0.0;760.4;G/1 *;19279T;10113W;HO6205M;;
CLA101-10;Kit De Disco De Corte Classic 115 X 22.23mm 10und ;9.0;0.0;0.0;;;;;;
12285T;TUBO MOTOR SPRINTER 310D/312 97...;0.0;0.0;885.44;F/6;;;;;
10077-FR3103T;SIL. M0NDEO SW 2.0 16V 94/96 LD DIREITO;0.0;0.0;547.45;A/7 - 1;;;;;
19025;SIL. TOYOTA BANDEIRANTE  94/  LONGO;0.0;0.0;580.8;;;;;;
19041T;SIL. BMW 325I 92/95;0.0;0.0;962.5;;;;;;
19048T;SIL. BESTA 2.2/2.7 93/97;0.0;0.0;407.14;;;;;;
01759-19056T;SIL. RENAULT R19 1.6 1.8 95.. HATCH;1.0;0.0;596.4;C/1 CIMA;;;;;
01758-19058T;INT. RENAULT R19 / RT / RN TODOS ;0.0;0.0;390.0;G/6;;;;;
19166T;TUBO INT. DUCATO/  BOXER 2.5/2.8 99/2008;0.0;0.0;389.99;;;;;;
307T;TB TERMINAL FIAT 147 75/86 CURTO;1.0;0.0;211.19;C/86 ;;;;;
01702-19030T;INT. HONDA CIVIC EX 1.6 98/2000++;1.0;0.0;695.0;B/A - 15 *;19030T;10112SP;HO6204M;;
HO6214M;INT. HONDA FIT 1.4 / 1.5 16V 2009/2014 GII;1.0;0.0;768.91;E/2;19771T;10123W;HO6214M;;
19289T;TUBO TERM. DEFENDER 90 2.5 DIESEL 98/2005;0.0;0.0;250.25;;;;;;
19301T;TUBO TERM. SPORTAGE 2.0 TURBO 98...;0.0;0.0;230.0;SL/29;;;;;
02009-19311T;TUBO MOTOR JEEP TROLLER 2.8 TURBO DIESEL ;0.0;0.0;350.0;SL;;;;;
11901T;SIL. HILUX 3.0 16V 2005/20015;0.0;0.0;1880.0;F/13;11901T;;;;
19457T-84530SP;SIL. PEUGEOT 307/408  2.0 SEDAN 06...CX QUAD;0.0;0.0;474.26;V;;;;;
19644T;TUBO TERM. HR 2,5 LONGO DIESEL 2007/.....;0.0;0.0;392.4;;;;;;
6005;CAT. ETIOS 1.3/1.5 16V 2012/2015 HATCH(SECUNDARIO ;1.0;0.0;0.0;H-24;16756;;TO5206C;;
11250T;INT. FOX 1.0 2009/2010 TOTALFLEX ;1.0;0.0;308.88;C/7;11250T;;VW0323M;;
10908T-EL;TUBO EXT SANDERO 1.0 L1 DOHC L3 2017/2020;2.0;0.0;552.44;B/1 - 9;10908T;;;;EL118
01704-19366T;INT. HONDA FIT 1.4 /1.5 03/09 ;2.0;0.0;595.29;G/5 ;19366T;10121W;HO6209M;;
20.780Q;SIL. SANTANA 1.8 2.0 ...90;0.0;0.0;230.63;;;;;;
20.782Q;SIL. SANTANA / QUANTUM 2.0 86...;0.0;0.0;243.88;;;;;;
07601-21618SP;TUBO MOTOR BRAVA/ MAREA WEEK 1.8 16V;1.0;0.0;950.0;B/1 - 10 ;11504T-11568T;21618W;FT4609D-FT4613D;;
22.729Q;SIL. GOL POWER/TREND 1.0 8V 01/05;0.0;0.0;240.73;D/17;;;;;
00733T;SIL. CAM. MB 709 88/77  ASPIRADO COM MIOLO ;1.0;0.0;546.4;C/1 CIMA;;;;;
2929;SIL. ;0.0;0.0;470.4;C/73;;;;;
51535SPNC;SIL. FIESTA HATCH 1.0 2006/2006;2.0;0.0;647.6;;;;;;
