Código;Item;Estoque;Reservas;Preço;Localização;Código Adicional 1;Código Adicional 2;Código Adicional 3;Código Adicional 4;Código Adicional 5
02601-19505T;SIL. PICANTO 1.0/1.1 05/10 +;2.0;0.0;465.24;B/2-1;19505T;83501W;DV6605T;;
02603-19645;SIL. KIA BONGO K-2500 2.5  2007/ DIESEL RODADO SIM;0.0;0.0;1225.4;A/2 - 1;;;;;
10887-DV6414T-84520S;SIL. NISSAN  VERSA 1.6 16V 2012/....1.0 12V 2012/.;1.0;0.0;845.8;BA/CIMA 4;10887T;84502W;DV6414T;;
01262-10100T;SIL. RANGER 2.5/4.0 CAB S 97/00  PÉS GASOLINA;1.0;0.0;1118.41;E/6;10100T;51104W-NF;FR3806T;;
10143T;SIL. RANGER 2.5 / 4.0 DIESEL 00/... CAB SIMPLES;1.0;0.0;1186.4;F/11;10143T;51109W;;;
10156T;SIL. CORCEL I 72/77;2.0;0.0;340.17;C/124;10156T;51525W;FR3001T;;
10175-51533;SIL. FIESTA 1.0 07/08 1.6 SEDAN 02/08;1.0;0.0;599.6;C/65 ;10175T;51533W;;;
SA4001;BUJÃO DRENO DO CARTER LINHA GM;8.0;0.0;26.0;;DM0001;;;;
10394T;INT. NEW FIESTA 1.6 16V 2011/2013 HACTH/SEDAN;1.0;0.0;866.35;D/14;10394T;50165W-NF;FR3620M;;
11778T;INT. UNO FIRE 02/08 OPCIONAL;0.0;0.0;0.0;;;;;;
SA4002;BUJÃO DRENO DO CARTER LINHA VOLKS;8.0;0.0;9.0;;;;;;
01244-10221T;SIL. RANGER 2.3 01/07 EST/DUP 4X2 SOHC E SUPERCAP;1.0;0.0;1090.57;E/8;10221T;51102W;FR3816T;;
01264-10233T;SIL. RANGER 3.0 CAB. DUPLA 05/09;1.0;0.0;488.16;E/9 ;10233T;;;;
01259-FR3116T;SIL. FOCUS 1.6 16V /2.0 16V 09/13 SIG/DUR HAT/SED*;2.0;0.0;719.25;F-2;10425T;51520W;FR3116T;;
01841-10434T;SIL. RENAULT DUSTER 2.2 4X4 2012/...;1.0;0.0;712.77;BA/CIMA 2;;;;;
10437-DV6412T;SIL. EFFA HAFEI RUIYI / TOWNER JUNIOR 10 CABINE D ;1.0;0.0;683.4;G/2;10437T;DV6412T;;;
10443T;SIL. CAPTIVA 2.4 16V 11/...;1.0;0.0;1158.4;D/20;10443T;;GM2421T;;
02801-10445T-DV6413T;SIL. NISSAN MARCH 1.0 /1.4 16V 2012/.... FLEX;1.0;0.0;709.3;C/28;10445T;84506W;DV6413T;;
10448T;SIL. CHERY QQ 1.4/1.0 12V 69CV 2011/2015;0.0;0.0;683.4;;;;;;
02408-DV6403M;INT. MITSUBISHI L200 2.5 4X4 03/12 - SAVANA 08/12;1.0;0.0;696.07;C/112;19405T;80136W-NF;DV6403M;;
10450T;SIL. LIFAN X60 1.8 16V 2013/2016++;1.0;0.0;350.0;BA CIMA/1;10450T;;;;
10490T-DV6411T;SIL. EFFA HAFEI RUIYI CABINE SIMPLES;1.0;0.0;657.4;F/1;10490T;;DV6411T;;
10491T-DV6412T---;SIL. EFFA HAFEI RUIYI CABINE ESTENDIDA;1.0;0.0;570.4;F/2;10491T;;DV6412T;;
02303-GM2420T-10451T;SIL. CAPTIVA 2.4 16V 09/10;1.0;0.0;1098.4;D/20;10451T;;GM2420T;;
10590TX;SIL. CAPTIVA 3.6 V6 4X2 / 4X4 09/...XXXXX;3.0;0.0;1536.0;D/20;105690T;41566W-NF;;;
00713-10596T;SIL. VECTRA CD 16V  C/ PONT CROMADA;1.0;0.0;692.35;B/5-2;10596T;;GM2215T;;
10599T;SIL. S-10 2.2 97/2000 CAB SIMPLES;1.0;0.0;892.95;F/11;10599T;;;;
01373-GM2804T;SIL. S-10 4.3 V6 96/99 CAB.SIMPLES;1.0;0.0;1245.4;E/6;10600T;41105W;GM2804T;;
01374-10602T;SIL. S-10 2.5 97/00 DIESEL DUPLA/ESTENDIDA;0.0;0.0;1220.4;E/6;;;;;
01272-41115SP-GM2814;SIL. S-10 2.8 00... 4CC CAB SIMPLES DIESEL;2.0;0.0;978.65;E/6;10627T;41115W;GM2814T-2832T;;
10920T-80168SP;INT. HB20 1.6 16V 2016/2019;2.0;0.0;462.48;F/2;10920T;80168W-NF;HY7502M;;
01371-10631T;SIL. S-10 2.5 96/00 DIESEL TURB;0.0;0.0;1050.4;E/8;;;;;
00714-10654T;SIL. VECTRA CD 16V  C/ PONT DUPLA PRETA;0.0;0.0;1071.8;SL/2;;;;;
01375-10664T;SIL. ASTRA HATCH 2.0 8V 16V FRENTE TREM C/ PONT CR;2.0;0.0;581.3;C/81;10664T;41562W;GM2216T-GM2222T;;
01376-10667T;SIL. VECTRA 2.0 2.4 06/08 C/PONT CROMADA;1.0;0.0;680.34;C/22;10667T;41562W;GM2222T;;1469T
01377-10672T;SIL. ASTRA SEDAN 2.0 8V 16V FRENTE TREM C/ PONT CR;1.0;0.0;702.37;B/A CIMA 4 ;10672T;41533W;;;
01339-10737T;SIL. AGILE 1.4 8V FLEX 09.. .C/PONT CROMADA;3.0;0.0;500.48;C/59 ;10737T;41567W;GM2417T;;10723N
01368-10745T;SIL. ZAFIRA 1.8 2.0 09... FLEX S/FLANGE;1.0;0.0;620.6;B/A CIMA 2;10745T;41565W-NF;GM2418T;;
01367-10751T-41559;SIL. VECTRA 2.0 2.4 GT/GTX 08/09 S/FLANGE S/ PONT;1.0;0.0;718.65;C/71 ;10751T;41559W-NF;GM2220T;;
01365-10763T-41532;SIL. VECTRA 2.0 2.4 09/11 ... SEDAN S/PONT.C/ABRAÇ;10.0;0.0;878.6;C/43;10763T;41532W-NF;GM2219T;;
10872T-GM2848T;SIL. S10 2.4 2013/.... CAB SIMPLES/DUPLA C/FLANGE;1.0;0.0;1412.4;E/9 ;10872T;;GM2848T;;
81001SP;INT. HYUNDAI H-100 12 LUGARES ...2000;0.0;0.0;935.4;C/2 CIMA;;;;;
10889T;SIL. PEUGEOT 208 1.5 8V 2013/2016 HACTH ;1.0;0.0;581.67;C/17;10889T;;PG6825T;;
01835-10895T;SIL. RENAULT LOGAN / SANDERO 1.0 16V 2015/2017;1.0;0.0;621.4;A/2 - CIMA;10895T;;;;
10902T-DV6525T;SIL. JEEP RENEGADE 1.8 16V 4X2 2015/2021 FLEX ;1.0;0.0;1193.84;D/18 ;10902T;11568W;DV6525T;;
01836-10903T;SIL. RENAULT LOGAN/SANDERO 1.6 8V 2015/2017;3.0;0.0;489.44;A/6 - 1;10903T;;;;
00157-11111T-61554;SIL. PASSAT ALEMAO 1.8 2.0 95/96;3.0;0.0;560.4;A/1 CIMA  ;00157;11111T;61554T;;
01577-11241T;SIL. POLO HATCH 2.0 02/... ORIGINAL VW;1.0;0.0;904.4;SL/2;11241T;61558;VW0318T;;
00233-11321T;SIL. VW SEDAN TUBULAR S/PRE;4.0;0.0;341.18;C/107;11321T;;;;
00234-11322T;SIL. BRASILIA SEMI ORIGINAL;0.0;0.0;364.6;SL/3;11322T;;;;
11323T;SIL. KOMBI ...91 TUBULAR  SAIDA BAIXO PARACHOQUE;1.0;0.0;382.4;SL/3;11323R;61546SP;VW0108T;;
01105-11325T;SIL. PUMA;1.0;0.0;423.38;C/95;11325T;;;;
02513-10884-;INT. HB20 1.6 16V 2012/2015;1.0;0.0;623.3;G/15;10884T;84117W;HY7516M;;
11335T;SIL. BUGGY SAIDA LATERAL;0.0;0.0;492.4;SL/1;;;;;
11342T;SIL. BUGGY COM MIOLO;1.0;0.0;690.37;SL/6;11342T;;;;
11366T;SIL. VW SEDAN DIMENSIONADO (PAULISTINHA);1.0;0.0;735.13;SL/3;11366T;;;;
11367T;SIL. BRASILIA 1600(PAR) PONT CROMADA;6.0;0.0;1363.6;SL/2;11367T;;;;
11374T;SIL. VW SEDAN KADRON SAIDA LAT ;1.0;0.0;427.71;SL/3;11374T;;;;
KT525-1;KIT JUNTA GAXETA PARAFUSOS E PORCAS LINHA VOLKS;0.0;0.0;0.0;C/25;;;;;
KT965;KIT 8 PRISIONEIROS E PORCAS 8X10X40;3.0;0.0;0.0;;;;;;
01671-11564T;SIL. LINEA 1.4 T-JET /1.8 / 1.9 16V 2009;1.0;0.0;742.53;SL/1;11564T;21555W;FT4624T;;
01669-11783T;SIL. DUCATO/ BOXER 2.5/2.8 98/08;1.0;0.0;428.26;C/1 CIMA;11783T;21549W;FT4011T;;
01677-11838T;SIL. GRAND SIENA 1.4 EVO 12...;1.0;0.0;629.1;C/2 CIMA;11838T;21541W-NF;FT4430T;;
19340T-RN6030M;INT. RENAULT MEGANE GRAN TOUR 2.0 05/11FLUENCE++ ;1.0;0.0;440.22;B/A - 3 *;19340T;901278W-NF;RN6030M;;
01673-11861T;SIL. PUNTO 1.6/1.8 10/... E TORQ;1.0;0.0;533.51;BA/CIMA 2;11861T;21570W-NF;FT4425T;;
11867T;SIL. GRAND SIENA 1.6 16V ETORQ 12...;1.0;0.0;738.02;F/7;11867T;21567W-NF;FT4429T;;
19042T;SIL. RENAULT FLUENCE SEDAN 2.0 2012...;1.0;0.0;977.4;SL/9 ;19042T;;;;
01920-19050T;SIL. PEUGEOT 106;1.0;0.0;467.22;C/61 ;19050T;81825W-NF;PG6801T;;
01760-19057T;SIL. RENAULT R19 1.6 1.8 95... SEDAN;2.0;0.0;615.4;C1 ;19057T;91503W;RN6011T;;
02406-19081T-DV6403T;SIL. MITSUBISHI L-200 GL/GLS ...00;2.0;0.0;834.05;BA/25;19081T;81124W;DV6403T-DV6402T;;
02113-19099T;SIL. RENAULT KANGOO 1.0 8V 2000/...;0.0;0.0;555.4;A/4 CIMA ;19099T;91514W-NF;RN6023T;;
02110-19206T;SIL. SPRINTER 308/311/313/314/316 2001/2012;0.0;0.0;1090.4;;;;;;
19249T;SIL. NISSAN SENTRA 2.0 2007 /2017;1.0;0.0;795.39;SL/5;19249T;81590W;DV6410T;;
19295T;SIL. SPORTAGE KIA 2.2 94/97 DIESEL;0.0;0.0;1295.4;C/2 CIMA;;;;;
A21582;INT. RENAULT LAGUNA RN 2.0 3.0 16V;1.0;0.0;830.41;SL/4;;90103;;RN6016M;
19300T;SIL. SPORTAGE KIA 2.0 98...DIESEL;0.0;0.0;954.4;SL/13 ;;;;;
19306T;SIL. HILUX 2.8 SW4 92/96;0.0;0.0;1158.4;F/10;;;;;
19307T;SIL. SPORTAGE KIA 2.0 98... GASOLINA;0.0;0.0;954.4;SL/59;;;;;
19341T-91527;SIL. RENAULT MEG GRAN 2.0 05/11 ENT CURTA;0.0;0.0;602.4;C/58;;;;;
19341T-DV6034T;SIL. RENAULT MEG GRAN 2.0 05/11 ENT CURTA;5.0;0.0;837.43;C2 CIMA *;19341T;91527W;RN6034T;;
01843-19393T;SIL. RENAULT TWINGO 95/2002;1.0;0.0;548.4;G/7 ;19393T;91516W-NF;RN6017T;;
19413T;SIL. MITSUBISHI L-200  3.5  V6 6 CIL GASOL 2008/..;0.0;0.0;1187.4;F/4;;;;;
01924-19454T;SIL. PEUGEOT 307 1.6 16V SEDAN 03...;1.0;0.0;675.33;B/5-3;19454T;81544W;PG6817T;;
19455T-81549SP;SIL. PEUGEOT 307 HATCH 2.0 16V 02/05 CX QUADRADA ;1.0;0.0;722.52;A/5 - 1 CIMA;19455T;81549W;PG6822T;;
19456T;SIL. PEUGEOT 307/408 2.0 SEDAN 06...CX RED;0.0;0.0;695.4;SL/56;;;;;
01573-0062;COLETOR FERRO GOL, PARA., SANT.  1.6/1.8 AP 1 BICO;1.0;0.0;980.0;H-27;DM0062;;;;
A21625;INT. RENAULT TWINGO ...99;1.0;0.0;490.44;SL/4;;;;A21625;
02517-19508T;SIL. HYUNDAI TUCSON 2.7 24V V6 05 / SPORTAGE;1.0;0.0;2044.24;D/20;19508T;81577W;HY6513T;;
19623T;SIL. KIA BONGO K-2500 2.5  2007/ DIESEL RODADO DUP;0.0;0.0;847.4;A2;;;;;
19637T;SIL. HILUX 3.0 02/05 C/DUP;0.0;0.0;1101.4;E/9 ;;;;;
83503SP-19642T;SIL. KIA SOUL 1.6 2009...;2.0;0.0;720.4;C/26;19642T;83503SP;;;
19847T-76092AM;SIL. CRV 2.0 16V 2WD/4WD AUT. 2008/2011 PONT CROM;0.0;0.0;774.4;;;;;;
19889T;SIL. SPORTAGE 2.0 16V 2008/2010 PONT.CROMADA;0.0;0.0;1638.4;D/20;;;;;
KT11197;INTERMEDIARIO DO FOX ADAPTADO + LUVA;1.0;0.0;0.0;C/19;;;;;
00974-10656T;SIL. ASTRA SEDAN SPORT 1.8 8V C/PONTEIRA ...02;0.0;0.0;828.0;C/26;10656T;41518W;GM2408T;;
10395T;SIL. NEW FIESTA 1.6 16V 2011/2013 HACTH/SEDAN;1.0;0.0;1025.29;SL/2;10395T;51562W;FR3622T;;
11069T;SIL. VW SEDAN 92/96 (ITAMAR);2.0;0.0;485.25;B/A CIMA 4 *;11069T;61531W;VW0101T;;
A21760;INT. AUDI A/6 A/8 SW 95 ;1.0;0.0;494.0;D/16;A21760;;;;
01528-11156-61565;SIL. BORA 2.0 00/11;1.0;0.0;810.43;C1 ;11156T;61565W-NF;VW0314T;;
02512-10885T;SIL. HB20 1.0/1.6  2012/... 12V  2016 SEDAN;1.0;0.0;970.51;A/3 - 1;10885T;84516SP;;;
84517SP;SIL. HB20 1.6 16V HATCH 12...;1.0;0.0;780.85;C/68*;;84517SP;HY7515T;;
HY6517T;SIL. HB20 1.6 16V SEDAN 12...;0.0;0.0;800.63;C 2 Cima;;84518SP;HY6517T;;
A21682;SIL. SPORTAGE ZEBRA;1.0;0.0;1144.4;B/A - 11;;;;A21682;
DV6809T-81535SP;SIL. PEUGEOT 306 1.8 2.0 16V 2000 ;1.0;0.0;990.1;C/118 ;;81525SP;DV6809T;;
DV6810T;SIL. PEUGEOT 405 GLI 1.6 94/95;0.0;0.0;563.0;SL/54;;;PG6610T;;
DV6811T;SIL. PEUGEOT 405  ZEBRA;0.0;0.0;504.0;C2 CIMA *;;;PG6811T;;
00125T;SIL. ESPORTIVO CHEVETTE OPICIONAL 73/93;3.0;0.0;220.4;B/1-58;125T;;;;
AB0004-00913;"DISCO FLAP G-60 4.1/2 "" X 1.0 X 22.23  NORTON BASI";-61.0;0.0;7.2;H-07;;;;;
DV6013M;INT. RENAULT EXPRESS;1.0;0.0;778.4;F/11;;;RN6013M;;
11194T;SIL. ESPOR GOL 1.6 2000/13 1.8 2005/09  GIII e GIV;0.0;0.0;449.41;H-22;;;;;
10229SP-19690T;SIL. UNIVERSAL1 ENT 2 SAIDAS (CHEVY);0.0;0.0;0.0;B/1-58;;;;;
00741-41514SP-NC;SIL. VECTRA 94/95;1.0;0.0;416.6;A/5 - 3 ;181T;41514W;GM2206T;;
TO5208T;SIL. ETIOS SEDAN 1.3/ 1.5 16V 2012/2015;1.0;0.0;0.0;B/A - 10 *;;;TO5208T;;
01023-11695T;SIL. ESPORTIVO TURBO MEDIO;2.0;0.0;283.73;B/1-58;11695T;;;;
01024-19691T;"SIL. ESPORTIVO UNIVERSAL 2 ENT Ø 2"" 2 SAIDAS";1.0;0.0;496.51;C/12;19691T;;;;
01025;"SIL.ESPORTIVO TURBÃO ENT/SAIDA Ø 2.1/2"" S/LÃ";0.0;0.0;0.0;H-22;;;;;
01026;"SIL. ESPOR 2 ENT. 2 SAIDAS Ø 2"" INT. SAIDA RETA";0.0;0.0;0.0;H-22;;;;;
01027;"SIL. ESPORTIVO TURBINHO LONGO ENT.Ø 2""";0.0;0.0;0.0;H-22;;;;;
01030;SIL.PARA ADAPTAÇÃO ENT/SAIDA Ø 1.3/4 ;0.0;0.0;0.0;H-22;;;;;
RN6021M-DV6021M;INT. RENAULT MASTER 2.5 BUS 16 CDI;0.0;0.0;486.42;B/A CIMA 2;;;;;
01304-136T;SIL. ESPORTIVO CORSA 1.0/1.4 SAIDA RETA;2.0;0.0;288.2;B/1-60;136T;40206W;;;
01314-10640;SIL. ESPORTIVO CELTA 00/06 E 2010/..;2.0;0.0;255.12;B/1-53;10640T;402032W;;;
01350;LUVA RASPA TOTAL 7CM ART LUVAS;0.0;0.0;0.0;C/4;;;;;
HY7523T;SIL. CRETA 1.6 16V 2016/2021;0.0;0.0;0.0;C/4;;;HY7523T;;
01515-11191T-11168T;SIL. ESPORTIVO GOL 1.0 16V /1.6 GROSSO;1.0;0.0;400.2;B/1-59;11191T-11168T;60209W-NF;VW0452T;;
01519-60204SP;SIL. ESPORTIVO GOL 1.6 /1.8 CHT 89/96 ;1.0;0.0;392.16;G/14;11376T-11163T;60204W-NF;;;
01521-11166T;SIL. ESPORTIVO VOYAGE / PARATI 1.8 ...91 ;1.0;0.0;500.4;G/14;11166T;60210W-NF;;;
01522-11164T;SIL. ESPORTIVO GOL 1.8 92/9;2.0;0.0;425.22;G/14;11164T;;;;
01525-;SIL. ESPORTIVO GOL 1.0/1.6 92/9  ;0.0;0.0;476.4;G/14;;;;;
01527;SIL. ESPORTIVO VOYAGE / PARATI / SAVEIRO 1.6 92/95;0.0;0.0;447.33;G/14;;;;;
DV6301M;INT. JEEP TROLLER GASOLINA 99...;0.0;0.0;594.0;C/2 CIMA;;;;;
01531-11167T;SIL. ESPORTIVO VOYAGE / PARATI 1.8 92/95;0.0;0.0;535.01;G/14;11167T;;;;
01558-11370T;SIL. ESPORTIVO GOL 1.0 8V/16V 00/... MEDIO;1.0;0.0;412.71;B/1-56;11370T;;;;
01572;SIL. ESPOR GOL GII 1.0 16V 1.6/1.8/2.0 8V PONT.CRO;0.0;0.0;0.0;C/1;;;;;
1573;SIL. ESPORTIVO GOL GII 1.0 8V PONT.CROMADA;0.0;0.0;0.0;H-22;;;;;
01602-11612T;SIL. ESPORTIVO PALIO 1.0 ;2.0;0.0;311.25;B/1-57;;;;;
01607-329T;SIL. ESPORTIVO UNO MILLE;2.0;0.0;338.38;B/1-56;329T;;;;
01918;SIL. ESPOR PEUGEOT 206/207 1.0 16V 1.4 8V 1.6 /16 ;0.0;0.0;0.0;C/2;;;;;
18073;SIL. ESPORTIVO UNIVERSAL REFLETIVO ;2.0;0.0;577.53;B/1-57;;;;;
11903T-TO5401S;SIL. HILUX SW4 3.0 16V 04-2005/2012;0.0;0.0;1841.41;;;;;;
04300-20728W;TUBO EXT STRADA 1.4 FLEX 06/08;5.0;0.0;427.84;B/1 - 16 ;11767T;20728W;FT4401E-FT4407E;;51126AM
FT4441M;INT. STRADA 1.4 8V 2020/.......C/ABAFADOR;1.0;0.0;667.32;G/2;;;FT4441M;;
04301-11579T-20732;TUBO EXT STRADA 1.4 09/... C/SUPORTE;3.0;0.0;346.61;B/1 - 17 ;11579T;20732W;FT4212E-FT4406E-FT4409E;;
04302-11772TW;TUBO EXT UNO FIRE/FIORINO 1.0/1.3 06/...;5.0;0.0;476.6;B/1 - 5;11772T;20712W;FT4208E-FT4209E;;EL108
04303-40713W-10869T;TUBO EXT CELTA/ PRISMA 1.4 2005 / 2009 FINO S/Sond;8.0;0.0;463.85;C/92;10869T;40713W;GM2602E;;
04304-40767W-10732T;TUBO EXT CORSA/PRI/CEL/AG 09/10 GrOSSO C/SONDA;5.0;0.0;486.54;C/98 ;10732T;40767W;GM2402E-GM2604E;;
04305-10753-40704SPW;TUBO EXT CORSA 1.0 (ANTIGO) 05...SEM SONDA;2.0;0.0;534.0;B/1 - 38;10753;40704W;GM2607E;;
04306-11418T-EL;TUBO EXT GOL/FOX/ SAV 1.0 1.6 GV C/SONDA   EL;2.0;0.0;509.59;B/1 - 31;11418T;60778W;VW0404E;;EL105
04307;TUBO EXT HB20 1.0 12V 2012/2019  HACTH/SEDAN;0.0;0.0;427.71;B/1 - 28;19606T;80715W;HY7505E;A77030-AMAM;EL101
04308-20711SPW-L-ML;TUBO EXT UNO ECONOMY 09/...;18.0;0.0;317.4;B/1 - 22 *;11731T;20711W;FT4211E;;EL110
04310-11837T;TUBO EXT PALIO/SIENA 1.4 08/... ABRAÇADEIRA;1.0;0.0;352.31;B/1 - 28;11837T;20762W-NF;FT4213E;;
04311-10747-40724SPW;TUBO EXT CORSA/ MONT 1.0/1.4 02/.MERIVA 05/08;3.0;1.0;443.39;C/117 ;10747T;40724W-NF;GM2401E-GM2603E;;
51A;TUBO ;0.0;0.0;390.4;D/17;;;;;
04312-10777-40768SPW;TUBO EXT CELTA/ PRISMA 1.0 11... ;2.0;0.0;500.25;C/106 ;10777T;40768W;GM2605E;;
07200-10006T-50704;TUBO EXT COURIER 1.3 97/99 C/ FLEX;0.0;0.0;585.4;B/1 - 16 ;10006T;50704W-NF;;;
10186T-50760SPW;TUBO EXT KA 1.0 ROCAM 08/08;2.0;0.0;685.4;B/1 - 20;10186T;50760W;FR3403D;;
80720W;TUBO EXT DUCATO/BOX/JUMPER 2.3 2011/2022;0.0;0.0;480.4;B/1 - 40 ;;80720W;;;
07206-10232-50726;TUBO EXT FOCUS 1.8/2.0 16V 2000/2008;2.0;0.0;709.4;B/1 - 27 ;10232T;50726W-NF;FR3101E;;
10240T-50761SPW;TUBO EXT KA 1.6 ROCAM 2008;1.0;0.0;692.4;B/1 - 17 ;10240T;50761W;FR3406D;;
07207-10362-50714SPW;TUBO EXT KA 1.0 1.3 97/99;1.0;0.0;568.05;B/1 - 8;10362T;50714W;FR3404E;;
10377-50712SPW;TUBO EXT FIESTA 1.0 1.3;1.0;0.0;562.95;B/1 - 20;10377T;50712W;FR3604E;;
11239T-60750SP;TUBO EXT FOX / POLO / SPACE 1.6 03/09;1.0;0.0;801.4;B/1 - 15 ;11239T;60750W;;;
20720SPW-11529T;TUBO EXT DOBLO 1.8 16V 2006/2009 3 FUROS;1.0;0.0;730.4;B/1-47;11529T;20720W;FT4003E;;
SA3183;JTA  COLET. ESCAP MOTOR AP 1.8/2.0 ;30.0;0.0;31.6;CESTO;;;;;
560703W;TUBO EXT GOLF/A3 1.6 8V 2000/2009;0.0;0.0;0.0;ENC *;;;;;
04323-11815-20744SPW;TUBO EXT PUNTO 1.4 8V 08/13;1.0;0.0;530.4;B/1 - 24 *;11815T;20744W;FT4404E;;
04327-11848-20751SPW;TUBO EXT DOBLO 1.4 8V MPI 2010/;2.0;0.0;450.5;B/1 - 15 ;11848T;20751W;FT4011E;;
04328-11850-20718SPW;TUBO EXT DOBLÔ 1.8 MPI 8v/16v 2011...;1.0;0.0;460.28;B/1 - 29;11850T;20718W-NF;FT4008E;;
04324-FT4408EML;TUBO EXT PUNTO 1.6/1.8 10/... C/FLEX  (OBS);1.0;0.0;819.4;B/1 - 17;;20713W;FT4408E;;
04320-11877-20781SP;TUBO EXT STRADA 1.4 8V 15/19  FIOR. 1.4 8V 06/;2.0;0.0;405.31;B/1 - 15 ;11877T;20781W-NF;FT4416E;;
80778SPW-19410T;TUBO EXT TUCSON 2.0 16V 07/... ;0.0;0.0;0.0;C/38;;;;;
05023-19451T;TUBO EXT TUCSON 2.0 16V 05/08 C/ABAFADOR;3.0;0.0;828.0;B/1 - 4 ;19451T;80146W-NF;HY7501E;;
04322-19503-83701SP;TUBO EXT PICANTO 1.0/1.1 05/10;1.0;0.0;590.4;B/1 - 25 ;19503T;83701W-NF;CT6603E;;
04318-20700SPW-11866;TUBO EXT PALIO W/UNO/FIORINO 1.4 2015/.. 40MM;3.0;0.0;413.08;B/1 - 10 ;11866T;20700W;FT4213E;;
SA3207;JTA COL. ESCAP CORSA/KADETT/CELTA/MERIVA  1.0/1.4/;0.0;0.0;60.0;;;;;;
20721-11576T;TUBO EXT STILO 1.8 16V 06/09;1.0;0.0;690.4;B/1 - 21 *;11576T;20721W-NF;FT4005E;;
20739SP-11857T;TUBO EXT STILO 1.8 8V 10/11;1.0;0.0;1036.44;B1 - 24;11857T;20739W-NF;FT4410E;;
04315-11841-20747SPW;TUBO EXT IDEA 1.4 8V  09/15  FIORINO 1.4 8V  ABRAÇ;2.0;0.0;476.65;B/1 - 30;11841T;20747W;FT4010E;;
20748W-FT4408E;TUBO EXT PALIO/IDEA 1.8 09/11 FLANGE 2 FUROS ( OBS;1.0;0.0;454.48;B/1 - 20;11858T;20748W;FT4408E;;
20750SPW-11762T;TUBO EXT PALIO/ SIENA/ IDEA 06./2009..;1.0;0.0;565.29;B/1 - 17 ;11762T;20750W;FT4004E;;
04317-20753-11562;TUBO EXT LINEA 1.4 T-JET 09..PUNTO 1.4 TURBO 09/16;3.0;0.0;790.4;B/1 - 15 ;11562T;20753W-NF;;;
20754SPW-11541T;TUBO EXT IDEA/ PALIO/ST 1.8 06/09 FLA 3 FUROS;1.0;0.0;544.78;B/1 - 21 *;11541T;20754W;FT4402E;;
04316-11855-20755SPW;TUBO EXT LINEA 1.9 16V 2009/2011;1.0;0.0;860.4;B/1 - 19;11855T;20755W;FT4602E;;
04329-11825T20758W;TUBO EXT PUNTO 1.8 8V 08;1.0;0.0;651.4;B/1 - 27 ;11825T;20758W;FT4405E;;
20761SP-FT4013E;TUBO EXT BRAVO 1.8 11... MEC./ DUALI;0.0;0.0;931.4;B/1 - 8;11830T;20761W-NF;FT4013E;;
SA3208;JTA COL. ADMISSÃO PALIO/SIENA/STILO/IDEA/STRADA/DO;10.0;0.0;73.8;CESTO;3208HP-PH;;;;
04319-11845-20763SPW;TUBO EXT GRAN SIENA/ PALIO WEEK 1.6 2011...;2.0;0.0;451.54;B/1 - 40;11845T;20763W;FT4411E-FT4417E;;EL113
04325-20769-11853T-;TUBO EXT LINEA 1.8 11...;1.0;0.0;580.4;B/1 - 19;11853T;20769W-NF;FT4603E;;
11866T-20779SP;TUBO EXT FIORINO 1.4  Ø 45MM  2015/2016 FLANGE;0.0;0.0;579.4;BA/25;;;;;
04313-10770-40770W;TUBO EXT COBALT 1.0/1.4 2011/ ONIX / PRISMA /JOY;3.0;0.0;640.32;B/1 - 45;10787T;40770W;GM2608E-GM2610E;;EL116
04314-10773T;TUBO EXT CRUZE 1.8 TDS 2012...;0.0;0.0;786.4;B/1 - 14 ;10773T;40773W-NF;GM2203E;;
04309-11828T;TUBO EXT PALIO/SIE/STRADA 1.4 FIRE 09/...;3.0;0.0;451.54;B/1 - 15 ;11828T;20762W-NF;FT4213E;;
07214-10195T-50762W;TUBO EXT KA 1.0 FLEX 2008/20141;1.0;0.0;525.27;B/1 - 27 ;10195T;50762W;FR3404D;;
07215-50763SPW;TUBO EXT KA 1.6 2009/...;1.0;0.0;1084.4;B/1 - 19;10196T;50763W;FR3405E;;
07501-11247-60749SPW;TUBO EXT FOX 1.0 FLEX 03... C/ FLEX;3.0;0.0;584.4;B/1 - 27 ;11247T;60749W;VW0304E;;
04321-10883T-EL;TUBO EXT HB20/CRETA 1.6 16V 2012 HACTH/SEDAN;2.0;0.0;631.21;B/1 - 27 ;10883T;80717W;HY7510E;;EL104
01621-11601T;INT. STRADA 1.3 FIR 03/05  1.5 WORG  99/2004  C/JK;1.0;0.0;325.17;B/A - 15;11601T;20105SP;FT4409M;;40615N
SA3227;JTA COL GOL 1.0 97 A 02 / GOL 1.0 8V G2 E G3 / PAR;13.0;0.0;58.0;CESTO;3227HPCH;;;;
122-IGE;TUBO INT. TOYOTA ...89 JEEP BAND;1.0;0.0;341.4;C/41;;;;;
00138-222T-60144;TUBO INT. PASSAT 1.5 1.6 78/88;2.0;0.0;269.15;C/100;222T;60144W;VW0105M;;
00196;TUBO INT. CORCEL II / D.REY 1.6 84...;0.0;0.0;312.4;C/95;;;;;
00224-42AT;TUBO INT. CORCEL II / D.REY 85/89;2.0;0.0;231.98;C/109 ;42AT;51229W;FR3002E;;
00224A-42T;TUBO INT. CORCEL II / D.REY ...84;2.0;0.0;195.4;C/109 ;42T;51229W;FR3002E;;
00228-217T;TUBO INT. GOL / VOY / SAV 1.5 1.6 89;2.0;0.0;174.71;C/89;217T;60143W;VW0403M;;30643N
